PK_acronym;BIPM.RI(II)-digP2
Status;Active
Data_type;Experimental
Service_category;https://si-digital-framework.org/kcdb-sc/RI/RAD-1.3.1
Measurand;Activity
Radionuclide;Tc-99
Measurement_type;TDCR
Method_code;4P-LS-BP-00-00-TD
Opening_date;2025-07-28T00:00:00Z
Closing_date;2026-12-15T00:00:00Z
Reference_date;2024-07-15T12:00:00Z
Measurement_device;BIPM TDCR system #1
Sampling_rate;1 GHz
Resolution;10 bits
Discriminator_type;Edge
Time_base_digitizer (s-1);1.00E-12
Scintillator;Ultima Gold
Volume (mL);16
Trigger_holdoff_beta (ns);48
Long_gate_beta (ns);100
Firmware;DPP-PSD
Measurement_date (background);X
Measurement_date (source ND00);2025-05-13T09:41:49Z
Measurement_date (source ND01);2025-05-13T11:45:42Z
Measurement_date (source ND02);2025-05-13T13:52:31Z
Measurement_date (source ND03);2025-05-13T16:10:19Z
Measurement_date (source ND04);2025-05-15T09:16:41Z
Measurement_date (source ND05);2025-05-15T11:19:30Z
