BOARD;CHANNEL;TIMETAG;ENERGY;ENERGYSHORT;FLAGS
0;3;39978799999;4240;4417;0x4000
0;3;62244099999;1371;1757;0x4000
0;3;81127603999;130;586;0x4000
0;3;89890277999;8449;8086;0x4000
0;3;147870477999;2209;2544;0x4000
0;3;167101231999;16383;20;0x4080
0;3;188780059998;7507;7277;0x4000
0;3;265172575999;3925;4113;0x4000
0;3;266579127999;3362;3623;0x4000
0;3;318280479998;896;1310;0x4000
0;3;325934239999;8097;7747;0x4000
0;3;336010907999;1547;1928;0x4000
0;3;352075913998;3108;3368;0x4000
0;3;425961825998;4397;4551;0x4000
0;3;442669659998;11448;10588;0x4000
0;3;470289323998;961;1392;0x4000
0;3;492700749999;16383;16383;0x4480
0;3;505397997998;1163;1561;0x4000
0;3;541610981998;852;1269;0x4000
0;3;574195863999;1991;2322;0x4000
0;3;580531527999;3152;3431;0x4000
0;3;610375831998;2001;2355;0x4000
0;3;655585141999;3234;3502;0x4000
0;3;719124543999;8235;7898;0x4000
0;3;742661023999;128;548;0x4000
0;3;786944549998;7441;7202;0x4000
0;3;822500665998;9932;9329;0x4000
0;3;849426957999;4659;4788;0x4000
0;3;875551647998;1128;1506;0x4000
0;3;922433077998;2918;3194;0x4000
0;3;979003295999;9645;9091;0x4000
0;3;991046293999;12043;11087;0x4000
0;3;1033357343998;2733;3026;0x4000
0;3;1082420535998;368;805;0x4000
0;3;1127339739999;10491;9795;0x4000
0;3;1175175031999;6462;6351;0x4000
0;3;1178490593999;1495;1885;0x4000
0;3;1238566349999;55;537;0x4000
0;3;1299387415998;2396;2718;0x4000
0;3;1337695395999;8854;8446;0x4000
0;3;1353751909999;1542;1948;0x4000
0;3;1512431543999;4939;5068;0x4000
0;3;1520150835998;7065;6891;0x4000
0;3;1606688955998;965;1387;0x4000
0;3;1680948983999;3635;3876;0x4000
0;3;1699708741998;3747;3942;0x4000
0;3;1828553454732;16383;16383;0x4480
0;3;1848036895999;1690;2065;0x4000
0;3;1920169669999;8223;7830;0x4000
0;3;1926147447999;445;837;0x4000
0;3;2028464463999;417;856;0x4000
0;3;2106118135999;2736;3036;0x4000
0;3;2177640815998;2614;2936;0x4000
0;3;2179694279998;2102;2444;0x4000
0;3;2282263511999;5342;5403;0x4000
0;3;2335759577998;2316;2660;0x4000
0;3;2359750557998;16383;273;0x4080
0;3;2418677999998;2557;2869;0x4000
0;3;2425026783248;16383;16383;0x4480
0;3;2453604217998;2960;3263;0x4000
0;3;2461333047998;16383;101;0x4080
0;3;2462249331998;7835;7543;0x4000
0;3;2479386211998;5092;5172;0x4000
0;3;2532600503999;16383;15;0x4080
0;3;2565972845999;5820;5803;0x4000
0;3;2570637527999;606;1031;0x4000
0;3;2662773313998;15911;14248;0x4000
0;3;2685129743998;3864;4052;0x4000
0;3;2691720931998;8747;8290;0x4000
0;3;2702217799998;1151;1541;0x4000
0;3;2712158535999;9695;9085;0x4000
0;3;2754376961999;683;1067;0x4000
0;3;2812086199998;16383;16383;0x4480
0;3;2831247599999;849;1249;0x4000
0;3;2877152939998;797;1200;0x4000
0;3;2934823723999;428;875;0x4000
0;3;2952729495998;7131;6952;0x4000
0;3;2999200315998;1568;1954;0x4000
0;3;3068236001999;16383;16383;0x4480
0;3;3140200453998;6763;6623;0x4000
0;3;3152840723999;3224;3485;0x4000
0;3;3217473659999;16383;163;0x4080
0;3;3252149541999;121;589;0x4000
0;3;3273602863998;9199;8700;0x4000
0;3;3280805141998;12462;11391;0x4000
0;3;3294998075998;7117;6905;0x4000
0;3;3344096695999;1255;1660;0x4000
0;3;3345614535999;3208;3446;0x4000
0;3;3350147323998;12555;11479;0x4000
0;3;3360818835999;14784;13297;0x4000
0;3;3380238055999;228;668;0x4000
0;3;3488040735998;6191;6165;0x4000
0;3;3530302079998;2168;2513;0x4000
0;3;3566893079998;5740;5712;0x4000
0;3;3633825873999;2666;2982;0x4000
0;3;3700107717999;3288;3529;0x4000
0;3;3702102591999;1323;1719;0x4000
0;3;3767677991999;5159;5241;0x4000
0;3;3772333389998;16383;366;0x4080
0;3;3777020687999;5045;5113;0x4000
0;3;3806350405998;3471;3709;0x4000
0;3;3857414207998;573;1001;0x4000
0;3;3923228339999;2068;2386;0x4000
0;3;3985908837998;1136;1543;0x4000
0;3;4037163065998;2378;2713;0x4000
0;3;4055043535998;236;651;0x4000
0;3;4119725679999;14809;13325;0x4000
0;3;4158060823998;2667;2982;0x4000
0;3;4206183947999;7921;7615;0x4000
0;3;4234167687999;10177;9484;0x4000
0;3;4242327159999;2199;2546;0x4000
0;3;4262276351998;10510;9759;0x4000
0;3;4337102845999;1466;1877;0x4000
0;3;4387515743999;2303;2639;0x4000
0;3;4580481087998;716;1144;0x4000
0;3;4592189981999;2778;3071;0x4000
0;3;4615985071998;6299;6242;0x4000
0;3;4635058173998;1270;1659;0x4000
0;3;4636325223999;4305;4449;0x4000
0;3;4657768447998;1616;1984;0x4000
0;3;4673542125998;4765;4874;0x4000
0;3;4675638183999;1490;1890;0x4000
0;3;4751265255999;5831;5803;0x4000
0;3;4796252953998;6337;6228;0x4000
0;3;4801607811998;9853;9240;0x4000
0;3;4810454581998;2171;2519;0x4000
0;3;4814266669998;16383;16383;0x4480
0;3;4829152903999;526;963;0x4000
0;3;4848472367999;265;713;0x4000
0;3;4857483559998;1003;1408;0x4000
0;3;4879882909999;596;1034;0x4000
0;3;4895491991998;235;697;0x4000
0;3;4919049223998;281;733;0x4000
0;3;4927905457998;16383;16383;0x4480
0;3;4938070793998;1812;2160;0x4000
